id,url,date_posted,photos,locality,street,property_type,rooms,area_m2,owner_direct,price_total_zl,price_per_m2_zl,city
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-kazimierza-leskiego-2-pokojowe-w4q2c2,3 dni temu,12,Gdańsk Jasień,ul. Kazimierza Leskiego,Apartment,2,41,Bez pośredników,639000,15582,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-srodmiescie-ul-a-hryniewickiego-3-pokojowe-x0e0i6,dzisiajnowe,16,Gdynia Śródmieście,ul. A. Hryniewickiego,Apartment,3,80,Bez pośredników,2800000,35000,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-1-pokoj-27-m2-t6x1u6,dzisiajnowe,7,Gdańsk Wrzeszcz,,Apartment,1,27,Bez pośredników,465000,17222,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-gorna-ul-kazimierza-wielkiego-2-pokojowe-j3r4r9,,7,Gdańsk Orunia Górna,ul. Kazimierza Wielkiego,Apartment,2,40,Bez pośredników,zapytaj o cenę,,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdansk-morena-ul-warnenska-2-pokojowe-r5l0m0,dzisiajnowe,10,Gdańsk Morena,ul. Warneńska,Apartment,2,47,Oferta biura nieruchomości,569000,12106,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-ul-powstania-listopadowego-2-pokojowe-u2t9q7,dzisiajnowe,17,Gdańsk,ul. Powstania Listopadowego,Apartment,2,47,Oferta biura nieruchomości,550000,11677,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdynia-obluze-2-pokojowe-37-m2-b1q8i3,dzisiajnowe,8,Gdynia Obłuże,,Apartment,2,37,Bez pośredników,469000,12676,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-orunia-ul-podmiejska-3-pokojowe-r4w0r3,dzisiajnowe,8,Gdańsk Orunia,ul. Podmiejska,Apartment,3,71,Bez pośredników,850000,11972,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-redlowo-ul-mikolaja-kopernika-2-pokojowe-h7a1k4,,6,Gdynia Redłowo,ul. Mikołaja Kopernika,Apartment,2,45,Bez pośredników,zapytaj o cenę,,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdynia-grabowek-ul-komandorska-3-pokojowe-y8c4q6,dzisiajnowe,14,Gdynia Grabówek,ul. Komandorska,Apartment,3,62,Oferta biura nieruchomości,580000,9316,Gdynia
o,https://adresowo.pl/o/mieszkanie-gdansk-przerobka-ul-siennicka-2-pokojowe-d1w0f7,3 dni temu,20,Gdańsk Przeróbka,ul. Siennicka,Apartment,2,42,Oferta biura nieruchomości,535000,12861,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-suchanino-ul-karola-kurpinskiego-3-pokojowe-o2b0c0,dzisiajnowe,8,Gdańsk Suchanino,ul. Karola Kurpińskiego,Apartment,3,53,Bez pośredników,630000,11887,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-alfonsa-flisykowskiego-3-pokojowe-s2i2c7,dzisiajnowe,12,Gdańsk Jasień,ul. Alfonsa Flisykowskiego,Apartment,3,57,Bez pośredników,689000,12008,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-jesionowa-2-pokojowe-a1e4k2,,6,Gdańsk Wrzeszcz,ul. Jesionowa,Apartment,2,50,Bez pośredników,zapytaj o cenę,,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-czarny-dwor-3-pokojowe-m1c1s8,5 dni temu,19,Gdańsk Przymorze,ul. Czarny Dwór,Apartment,3,82,Oferta biura nieruchomości,1765126,21576,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-przymorze-ul-czarny-dwor-3-pokojowe-f5i7v8,5 dni temu,19,Gdańsk Przymorze,ul. Czarny Dwór,Apartment,3,82,Oferta biura nieruchomości,1838098,22493,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-wrzeszcz-ul-juliusza-slowackiego-2-pokojowe-q7k4c4,wczorajnowe,10,Gdańsk Wrzeszcz,ul. Juliusza Słowackiego,Apartment,2,34,Bez pośredników,615000,18088,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdansk-siedlce-ul-kartuska-2-pokojowe-e0j6g1,3 dni temu,12,Gdańsk Siedlce,ul. Kartuska,Apartment,2,48,Bez pośredników,595000,12319,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-ujescisko-ul-przemyska-2-pokojowe-z0h4s3,,11,Gdańsk Ujeścisko,ul. Przemyska,Apartment,2,39,Bez pośredników,zapytaj o cenę,,Gdańsk
o,https://adresowo.pl/o/mieszkanie-gdansk-jasien-ul-tadeusza-jasinskiego-2-pokojowe-e9m4i7,5 dni temu,13,Gdańsk Jasień,ul. Tadeusza Jasińskiego,Apartment,2,51,Oferta biura nieruchomości,750000,14706,Gdańsk
o,https://adresowo.pl/o/mieszkanie-sopot-al-niepodleglosci-4-pokojowe-b2p4z7,5 dni temu,23,Sopot,al. Niepodległości,Apartment,4,101,Oferta biura nieruchomości,1599000,15799,Sopot
o,https://adresowo.pl/o/mieszkanie-gdansk-jelitkowo-ul-bursztynowa-4-pokojowe-g7j4e0,3 dni temu,19,Gdańsk Jelitkowo,ul. Bursztynowa,Apartment,4,94,Bez pośredników,4200000,44624,Gdańsk
,,,,,,Apartment,,,Pośrednik,,,
,,,,,,Apartment,,,Pośrednik,,,
o,https://adresowo.pl/o/mieszkanie-gdynia-obluze-ul-stanislawa-kosko-3-pokojowe-q2o6c5,3 dni temu,13,Gdynia Obłuże,ul. Stanisława Kosko,Apartment,3,60,Bez pośredników,689000,11407,Gdynia
